Ciclo,Cultivo,Calendario,Año_EVA,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Transitorio,Guandul,Cosechas,2022,0,2.33,0.43,0,0.07,0.23,0.19,8.57,8.91,5.13,12.74,61.4
Transitorio,Guandul,Siembras,2022,0.12,1.1,0.74,50.24,19.5,16.23,3.04,7.09,0.27,1.67,0,0
Transitorio,Guatila,Cosechas,2022,0,0,0,0,0,0,37.5,37.5,0,0,0,25
Transitorio,Guatila,Siembras,2022,0,0,23.81,23.81,0,0,15.71,13.1,13.1,10.48,0,0
Permanente,Guayaba,Cosechas,2022,3.95,7.6,10.12,9.31,10.77,9.87,10.4,12.54,9.26,6.78,5.03,4.38
Permanente,Guayaba,Siembras,2022,1.78,1.87,12.85,21.24,7.51,8.9,6.75,5.18,6.43,9.69,9.63,8.19
Permanente,Gulupa o cholupa,Cosechas,2022,4.63,5.66,13.32,7.29,8.23,9.21,8.1,7.57,7.19,7.49,10.93,10.39
Permanente,Gulupa o cholupa,Siembras,2022,5.75,12.6,11.95,7.12,11.26,10.66,6.45,4.88,7.71,6.89,5.31,9.43
Transitorio,Haba,Cosechas,2022,4.29,4.67,8.35,8.4,6.79,5.35,11.4,13.86,11.88,9.88,6.12,9.02
Transitorio,Haba,Siembras,2022,8.95,21.82,19.38,12.94,5.38,3.32,4.88,4.8,4.81,5.85,4.65,3.24
Transitorio,Habichuela,Cosechas,2022,5.67,8.62,6.44,4.87,6.79,10.93,12.37,7.15,6.47,8.84,11.84,10.01
Transitorio,Habichuela,Siembras,2022,4.87,11.15,13.37,8.18,9,4.33,6.26,9.91,12.83,9.41,7.74,2.96
Permanente,Higo,Cosechas,2022,19.85,14.89,4.96,0.75,9.92,14.89,19.85,4.96,0,0,0,9.92
Permanente,Higo,Siembras,2022,0,0,0,50,50,0,0,0,0,0,0,0
Transitorio,Hortalizas varias,Cosechas,2022,12.51,7.13,11.58,7.5,5.49,6.7,8.58,10.84,5.85,8.21,6.77,8.84
Transitorio,Hortalizas varias,Siembras,2022,7.85,8.43,8.07,11.54,9.19,6.13,8.03,6.98,9.66,10.28,8.3,5.54
Permanente,Iraca,Cosechas,2022,7.51,6.44,6.35,7.08,7.16,8.7,10.75,13.73,9.68,8.09,7.25,7.25
Permanente,Iraca,Siembras,2022,0,0,30,40,30,0,0,0,0,0,0,0
Transitorio,Jengibre,Cosechas,2022,8.06,5.87,6.98,7.01,6.3,8.21,11.52,11.84,7.44,6.92,7.6,12.25
Transitorio,Jengibre,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Permanente,Laurel,Cosechas,2022,8.09,6.94,7,5.61,6.16,8.16,11.15,10.58,9.36,8.61,7.67,10.67
Permanente,Laurel,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Transitorio,Lechuga,Cosechas,2022,8.64,7.34,10.03,9.13,6.96,8.03,8.84,9.04,7.1,6.13,8.94,9.81
Transitorio,Lechuga,Siembras,2022,7.96,9.18,8.17,9.06,8.44,9.45,7.69,7.99,9.26,9.64,7.15,6.02
Permanente,Limonaria,Cosechas,2022,0,0,0,0,0,0,35.71,35.71,0,7.14,7.14,14.29
Permanente,Limonaria,Siembras,2022,0,0,25,25,0,0,5,5,10,10,10,10
Permanente,Lulo,Cosechas,2022,6.51,5.69,9.66,10.5,8.04,8.18,10.38,7.77,8.67,9.51,8.12,6.97
Permanente,Lulo,Siembras,2022,10.92,11.11,14.72,15.23,11.71,7.97,8.38,4.22,5.65,5.83,3.6,0.66
Permanente,Macadamia,Cosechas,2022,0,3.76,27.47,11.27,7.51,0,0,16.2,15.02,11.27,7.51,0
Permanente,Macadamia,Siembras,2022,0,0,0,0,0,0,0,0,0,0,100,0
Transitorio,Maíz,Cosechas,2022,13.39,6.28,3.05,1.26,3.78,4.08,12.78,15.5,7.9,5.99,10.86,15.14
Transitorio,Maíz,Siembras,2022,3.2,5.92,9.93,18,11.64,2.54,10.43,18.97,10.57,6.28,1.88,0.65
Permanente,Mamoncillo,Cosechas,2022,0,0,0,0,9.93,25.5,34.75,9.93,0.04,9.93,9.93,0
Permanente,Mamoncillo,Siembras,2022,5.27,10.69,16.18,18.76,11.82,7.27,5.44,3.76,5.92,7.94,4.5,2.46
Permanente,Mango,Cosechas,2022,8.11,5.11,6.07,12.33,16.65,15.25,13.01,4.34,2.76,2.88,5.91,7.58
Permanente,Mango,Siembras,2022,8.19,11.24,14.48,18.58,14.07,7.65,3.27,2.64,4.97,10.14,3.69,1.08
Permanente,Mangostino,Cosechas,2022,12.12,12.12,4.18,11.19,13.97,6.96,6.96,12.76,12.76,3.48,3.48,0
Permanente,Mangostino,Siembras,2022,7.14,8.75,14.35,16.03,13.43,6.99,6.95,5.84,6.29,6.85,4.98,2.41
Permanente,Manzana,Cosechas,2022,24.89,18.53,19.12,5.55,6.93,5.78,2.74,1.93,1.93,2.64,4.02,5.94
Permanente,Manzana,Siembras,2022,0,0,0,100,0,0,0,0,0,0,0,0
Permanente,Maracuyá,Cosechas,2022,9.93,16.59,13.34,8.93,6.94,5.53,4.42,4.32,5.21,9,8.89,6.89
Permanente,Maracuyá,Siembras,2022,6.19,6.96,12.08,25.32,16.18,2.64,4.58,12.69,8.55,3.43,0.92,0.46
Permanente,Marañón,Cosechas,2022,0,0.54,0.22,0.47,0.54,29.66,29.38,39.19,0,0,0,0
Permanente,Marañón,Siembras,2022,0.5,0.85,2.01,2.42,1.98,86.52,0.5,0.39,0.7,1.87,1.87,0.41
Transitorio,Melón,Cosechas,2022,8.34,5.19,3.84,4.51,8.81,11.9,13.85,10.64,4.78,9.18,8.57,10.39
Transitorio,Melón,Siembras,2022,2.38,10.86,15.15,13.46,7.89,3.27,11.75,10.53,6.77,7.55,7.55,2.83
Permanente,Menta,Cosechas,2022,14.7,1.86,17.46,4.61,15.16,1.86,14.7,1.4,10.12,3.69,7.82,6.61
Permanente,Menta,Siembras,2022,8.57,8.57,8.57,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26,8.26
Permanente,Mora,Cosechas,2022,9.08,9.09,8.26,9.29,9.51,8.48,9.37,8.99,9.59,8.03,4.61,5.7
Permanente,Mora,Siembras,2022,3.86,8.34,14.44,20.94,13.06,6.24,4.58,5.42,7.54,7.64,5.26,2.68
Permanente,Moringa,Cosechas,2022,6.86,6.88,7.28,7.02,5.86,6.14,6.51,9.18,9.66,12.72,12.42,9.46
Permanente,Moringa,Siembras,2022,6.34,12.57,13.29,12.75,9.99,7.4,6.97,5.13,7.79,8.24,6.68,2.85
Transitorio,Nabo,Cosechas,2022,7.41,8.32,9.17,8.38,8.21,9.53,9.5,9.35,7.71,7.37,6.51,8.52
Transitorio,Nabo,Siembras,2022,6.84,11.09,12.45,10.7,8.67,5.39,8.85,9,10.08,7.55,5.88,3.51
Permanente,Níspero,Cosechas,2022,0,3.97,13.55,22.75,25.27,7.04,0,3.97,7.04,9.38,7.04,0
Permanente,Níspero,Siembras,2022,0,0,0,0,50,50,0,0,0,0,0,0
Permanente,Noni,Cosechas,2022,6.45,8.35,9.8,10.05,11.22,9.89,9.56,8.53,6.9,6.91,7,5.33
Permanente,Noni,Siembras,2022,7.14,8.75,14.35,16.03,13.43,6.99,6.95,5.84,6.29,6.85,4.98,2.41
Transitorio,Ñame,Cosechas,2022,10.78,7.91,6.42,10.11,3.85,1.6,1.67,4.04,3.34,5.18,8.25,36.85
Transitorio,Ñame,Siembras,2022,0.42,1.16,4.77,31.15,41.71,14.87,2.13,1.78,0.58,0.16,0.51,0.76
Permanente,Palma de aceite,Cosechas,2022,5.08,8.05,7.75,8.2,7.33,7.7,6.24,11,8.99,11.62,11.82,6.21
Permanente,Palma de aceite,Siembras,2022,6.49,8.69,12.39,16.97,16.66,10.03,8.23,6.59,4.91,4.99,3.16,0.9
Permanente,Palmito,Cosechas,2022,0,0,0,0,0,50,0,0,0,0,50,0
Permanente,Palmito,Siembras,2022,25,0,25,0,0,0,25,0,25,0,0,0
